recording_id,known_species,lat,lon,date,detected_species,detected_common,confidence,start_time_s,end_time_s
XC1066686,Melithreptus albogularis,-28.2307,153.1359,2025-10-26,Melithreptus albogularis,White-throated Honeyeater,0.854,9.0,12.0
XC1066686,Melithreptus albogularis,-28.2307,153.1359,2025-10-26,Melithreptus albogularis,White-throated Honeyeater,0.865,12.0,15.0
XC1066686,Melithreptus albogularis,-28.2307,153.1359,2025-10-26,Melithreptus albogularis,White-throated Honeyeater,0.49,15.0,18.0
XC935474,Melithreptus albogularis,-27.8038,153.4284,2024-09-24,Melithreptus albogularis,White-throated Honeyeater,0.923,0.0,3.0
XC935474,Melithreptus albogularis,-27.8038,153.4284,2024-09-24,Melithreptus albogularis,White-throated Honeyeater,0.994,15.0,18.0
XC935474,Melithreptus albogularis,-27.8038,153.4284,2024-09-24,Melithreptus albogularis,White-throated Honeyeater,0.88,18.0,21.0
XC935474,Melithreptus albogularis,-27.8038,153.4284,2024-09-24,Melithreptus albogularis,White-throated Honeyeater,0.93,21.0,24.0
XC822066,Melithreptus albogularis,-12.4422,130.9102,2023-08-04,Melithreptus albogularis,White-throated Honeyeater,0.427,12.0,15.0
XC822066,Melithreptus albogularis,-12.4422,130.9102,2023-08-04,Melithreptus albogularis,White-throated Honeyeater,0.424,15.0,18.0
XC822066,Melithreptus albogularis,-12.4422,130.9102,2023-08-04,Melithreptus albogularis,White-throated Honeyeater,0.688,18.0,21.0
XC822066,Melithreptus albogularis,-12.4422,130.9102,2023-08-04,Melithreptus albogularis,White-throated Honeyeater,0.378,24.0,27.0
XC822066,Melithreptus albogularis,-12.4422,130.9102,2023-08-04,Melithreptus albogularis,White-throated Honeyeater,0.652,27.0,30.0
XC822066,Melithreptus albogularis,-12.4422,130.9102,2023-08-04,Melithreptus albogularis,White-throated Honeyeater,0.371,30.0,33.0
XC822066,Melithreptus albogularis,-12.4422,130.9102,2023-08-04,Melithreptus albogularis,White-throated Honeyeater,0.631,33.0,36.0
XC822066,Melithreptus albogularis,-12.4422,130.9102,2023-08-04,Philemon buceroides,Helmeted Friarbird,0.354,36.0,39.0
